Mod:Item:MetaData, Localized Name
TConstruct:jerky:7, Coagulated Blood Drop
TConstruct:heartCanister:0, Empty Canister
TConstruct:heartCanister:1, Miniature Red Heart
TConstruct:heartCanister:2, Red Heart Canister
TConstruct:heartCanister:3, Miniature Yellow Heart
TConstruct:heartCanister:4, Yellow Heart Canister
TConstruct:heartCanister:5, Miniature Green Heart
TConstruct:heartCanister:6, Green Heart Canister
TConstruct:knapsack:0, Knapsack
TConstruct:helmetWood, Wooden Helmet
TConstruct:chestplateWood, Wooden Chestplate
TConstruct:leggingsWood, Wooden Leggings
TConstruct:bootsWood, Wooden Boots
TConstruct:travelGoggles, Traveller's Goggles
TConstruct:travelVest, Traveller's Vest
TConstruct:travelWings, Traveller's Wings
TConstruct:travelBoots, Traveller's Boots
TConstruct:travelGlove, Traveller's Gloves
TConstruct:travelBelt, Traveller's Belt
TConstruct:bowstring:0, Bowstring
TConstruct:arrowhead:0, Wooden Arrowhead
TConstruct:arrowhead:1, Stone Arrowhead
TConstruct:arrowhead:2, Iron Arrowhead
TConstruct:arrowhead:3, Flint Arrowhead
TConstruct:arrowhead:4, Cactus Arrowhead
TConstruct:arrowhead:5, Bone Arrowhead
TConstruct:arrowhead:6, Obsidian Arrowhead
TConstruct:arrowhead:7, Netherrack Arrowhead
TConstruct:arrowhead:8, Slime Arrowhead
TConstruct:arrowhead:9, Paper Arrowhead
TConstruct:arrowhead:10, Cobalt Arrowhead
TConstruct:arrowhead:11, Ardite Arrowhead
TConstruct:arrowhead:12, Manyullyn Arrowhead
TConstruct:arrowhead:13, Copper Arrowhead
TConstruct:arrowhead:14, Bronze Arrowhead
TConstruct:arrowhead:15, Alumite Arrowhead
TConstruct:arrowhead:16, Steel Arrowhead
TConstruct:arrowhead:17, Slime Arrowhead
TConstruct:arrowhead:18, Pig Iron Arrowhead
TConstruct:fletching:0, Feather Fletching
TConstruct:fletching:1, Leaf Fletching
TConstruct:fletching:2, Slime Fletching
TConstruct:fletching:3, Slime Fletching
TConstruct:fletching:4, Slimeleaf Fletching
TConstruct:ShurikenPart:0, Wooden Shuriken
TConstruct:ShurikenPart:1, Stone Shuriken
TConstruct:ShurikenPart:2, Iron Shuriken
TConstruct:ShurikenPart:3, Flint Shuriken
TConstruct:ShurikenPart:4, Cactus Shuriken
TConstruct:ShurikenPart:5, Bone Shuriken
TConstruct:ShurikenPart:6, Obsidian Shuriken
TConstruct:ShurikenPart:7, Netherrack Shuriken
TConstruct:ShurikenPart:8, Slime Shuriken
TConstruct:ShurikenPart:9, Paper Shuriken
TConstruct:ShurikenPart:10, Cobalt Shuriken
TConstruct:ShurikenPart:11, Ardite Shuriken
TConstruct:ShurikenPart:12, Manyullyn Shuriken
TConstruct:ShurikenPart:13, Copper Shuriken
TConstruct:ShurikenPart:14, Bronze Shuriken
TConstruct:ShurikenPart:15, Alumite Shuriken
TConstruct:ShurikenPart:16, Steel Shuriken
TConstruct:ShurikenPart:17, Slime Shuriken
TConstruct:ShurikenPart:18, Pig Iron Shuriken
TConstruct:BowLimbPart:0, Wooden Bow Limb
TConstruct:BowLimbPart:1, Stone Bow Limb
TConstruct:BowLimbPart:2, Iron Bow Limb
TConstruct:BowLimbPart:3, Flint Bow Limb
TConstruct:BowLimbPart:4, Cactus Bow Limb
TConstruct:BowLimbPart:5, Bone Bow Limb
TConstruct:BowLimbPart:6, Obsidian Bow Limb
TConstruct:BowLimbPart:7, Netherrack Bow Limb
TConstruct:BowLimbPart:8, Slime Bow Limb
TConstruct:BowLimbPart:9, Paper Bow Limb
TConstruct:BowLimbPart:10, Cobalt Bow Limb
TConstruct:BowLimbPart:11, Ardite Bow Limb
TConstruct:BowLimbPart:12, Manyullyn Bow Limb
TConstruct:BowLimbPart:13, Copper Bow Limb
TConstruct:BowLimbPart:14, Bronze Bow Limb
TConstruct:BowLimbPart:15, Alumite Bow Limb
TConstruct:BowLimbPart:16, Steel Bow Limb
TConstruct:BowLimbPart:17, Slime Bow Limb
TConstruct:BowLimbPart:18, Pig Iron Bow Limb
TConstruct:CrossbowLimbPart:0, Wooden Crossbow Limb
TConstruct:CrossbowLimbPart:1, Stone Crossbow Limb
TConstruct:CrossbowLimbPart:2, Iron Crossbow Limb
TConstruct:CrossbowLimbPart:3, Flint Crossbow Limb
TConstruct:CrossbowLimbPart:4, Cactus Crossbow Limb
TConstruct:CrossbowLimbPart:5, Bone Crossbow Limb
TConstruct:CrossbowLimbPart:6, Obsidian Crossbow Limb
TConstruct:CrossbowLimbPart:7, Netherrack Crossbow Limb
TConstruct:CrossbowLimbPart:8, Slime Crossbow Limb
TConstruct:CrossbowLimbPart:9, Paper Crossbow Limb
TConstruct:CrossbowLimbPart:10, Cobalt Crossbow Limb
TConstruct:CrossbowLimbPart:11, Ardite Crossbow Limb
TConstruct:CrossbowLimbPart:12, Manyullyn Crossbow Limb
TConstruct:CrossbowLimbPart:13, Copper Crossbow Limb
TConstruct:CrossbowLimbPart:14, Bronze Crossbow Limb
TConstruct:CrossbowLimbPart:15, Alumite Crossbow Limb
TConstruct:CrossbowLimbPart:16, Steel Crossbow Limb
TConstruct:CrossbowLimbPart:17, Slime Crossbow Limb
TConstruct:CrossbowLimbPart:18, Pig Iron Crossbow Limb
TConstruct:CrossbowBodyPart:0, Wooden Crossbow Body
TConstruct:CrossbowBodyPart:1, Stone Crossbow Body
TConstruct:CrossbowBodyPart:2, Iron Crossbow Body
TConstruct:CrossbowBodyPart:3, Flint Crossbow Body
TConstruct:CrossbowBodyPart:4, Cactus Crossbow Body
TConstruct:CrossbowBodyPart:5, Bone Crossbow Body
TConstruct:CrossbowBodyPart:6, Obsidian Crossbow Body
TConstruct:CrossbowBodyPart:7, Netherrack Crossbow Body
TConstruct:CrossbowBodyPart:8, Slime Crossbow Body
TConstruct:CrossbowBodyPart:9, Paper Crossbow Body
TConstruct:CrossbowBodyPart:10, Cobalt Crossbow Body
TConstruct:CrossbowBodyPart:11, Ardite Crossbow Body
TConstruct:CrossbowBodyPart:12, Manyullyn Crossbow Body
TConstruct:CrossbowBodyPart:13, Copper Crossbow Body
TConstruct:CrossbowBodyPart:14, Bronze Crossbow Body
TConstruct:CrossbowBodyPart:15, Alumite Crossbow Body
TConstruct:CrossbowBodyPart:16, Steel Crossbow Body
TConstruct:CrossbowBodyPart:17, Slime Crossbow Body
TConstruct:CrossbowBodyPart:18, Pig Iron Crossbow Body
TConstruct:BoltPart:0, Wooden Bolt
TConstruct:BoltPart:1, Stone Bolt
TConstruct:BoltPart:2, Iron Bolt
TConstruct:BoltPart:3, Flint Bolt
TConstruct:BoltPart:4, Cactus Bolt
TConstruct:BoltPart:5, Bone Bolt
TConstruct:BoltPart:6, Obsidian Bolt
TConstruct:BoltPart:7, Netherrack Bolt
TConstruct:BoltPart:8, Slime Bolt
TConstruct:BoltPart:9, Paper Bolt
TConstruct:BoltPart:10, Cobalt Bolt
TConstruct:BoltPart:11, Ardite Bolt
TConstruct:BoltPart:12, Manyullyn Bolt
TConstruct:BoltPart:13, Copper Bolt
TConstruct:BoltPart:14, Bronze Bolt
TConstruct:BoltPart:15, Alumite Bolt
TConstruct:BoltPart:16, Steel Bolt
TConstruct:BoltPart:17, Slime Bolt
TConstruct:BoltPart:18, Pig Iron Bolt
TConstruct:Shuriken, item.InfiTool.name
TConstruct:ThrowingKnife, item.InfiTool.name
TConstruct:Javelin, item.InfiTool.name
TConstruct:ShortBow, item.InfiTool.name
TConstruct:LongBow, item.InfiTool.name
TConstruct:Crossbow, item.InfiTool.name
TConstruct:ArrowAmmo, item.InfiTool.name
TConstruct:BoltAmmo, item.InfiTool.name
TConstruct:Pattern:0, Shuriken Pattern
TConstruct:Pattern:1, Crossbow Limb Pattern
TConstruct:Pattern:2, Crossbow Body Pattern
TConstruct:Pattern:3, Bow Limb Pattern
TConstruct:Cast:0, Shuriken Cast
TConstruct:Cast:1, Crossbow Limb Cast
TConstruct:Cast:2, Crossbow Body Cast
TConstruct:Cast:3, Bow Limb Cast
TConstruct:GlassArrows, item.tconstruct.glassArrows.name
TConstruct:Boneana, Broadsword
TConstruct:gearCast, Gear Cast
MagicBees:comb:0, Mundane Comb
MagicBees:comb:1, Molten Comb
MagicBees:comb:2, Occult Comb
MagicBees:comb:3, Otherworldy Comb
MagicBees:comb:4, Transmuting Comb
MagicBees:comb:5, Papery Comb
MagicBees:comb:6, Soul Comb
MagicBees:wax:0, Magic Wax
MagicBees:wax:1, Soulful Wax
MagicBees:wax:2, Amnesic Wax
MagicBees:propolis:0, Unstable Propolis
MagicBees:propolis:1, Breezey Propolis
MagicBees:propolis:2, Burning Propolis
MagicBees:propolis:3, Flowing Propolis
MagicBees:propolis:4, Stony Propolis
MagicBees:propolis:5, Ordered Propolis
MagicBees:propolis:6, Chaotic Propolis
MagicBees:drop:0, Enchanting Drop
MagicBees:drop:1, Intellect Drop
MagicBees:drop:2, Destabilized Drop
MagicBees:drop:3, Carbon Drop
MagicBees:drop:4, Lux Drop
MagicBees:drop:5, Endearing Drop
MagicBees:miscResources:0, Lore Fragment
MagicBees:miscResources:1, Aromatic Lump
MagicBees:miscResources:2, Concentrated Compound
MagicBees:miscResources:3, Wither Skeleton Bone Chip
MagicBees:miscResources:4, Wither Skeleton Skull Fragment
MagicBees:miscResources:5, Draconic Dust
MagicBees:miscResources:6, Draconic Chunk
MagicBees:miscResources:7, Essence of False Life
MagicBees:miscResources:8, Essence of a Shallow Grave
MagicBees:miscResources:9, Essence of Lost Time
MagicBees:miscResources:10, Essence of Everlasting Durability
MagicBees:miscResources:11, Essence of Scornful Oblivion
MagicBees:miscResources:12, Essence of Fickle Permanence
MagicBees:miscResources:17, Dimensional Singularity
MagicBees:miscResources:18, Air Infused Dust
MagicBees:miscResources:19, Water Infused Dust
MagicBees:miscResources:20, Fire Infused Dust
MagicBees:miscResources:21, Earth Infused Dust
MagicBees:miscResources:22, Order Infused Dust
MagicBees:miscResources:23, Chaos Infused Dust
MagicBees:pollen:0, Unusual Pollen
MagicBees:pollen:1, Phased Pollen
MagicBees:moonDial, Jade Moon Dial
MagicBees:jellyBabies, Handful of Jelly Babies
MagicBees:beeNugget:0, Iron Nugget
MagicBees:beeNugget:1, Copper Nugget
MagicBees:beeNugget:2, Tin Nugget
MagicBees:beeNugget:3, Silver Nugget
MagicBees:beeNugget:4, Lead Nugget
MagicBees:magnet:0, Mysterious Magnet
MagicBees:magnet:2, Mysterious Magnet
MagicBees:magnet:4, Mysterious Magnet
MagicBees:magnet:6, Mysterious Magnet
MagicBees:magnet:8, Mysterious Magnet
MagicBees:magnet:10, Mysterious Magnet
MagicBees:magnet:12, Mysterious Magnet
MagicBees:magnet:14, Mysterious Magnet
MagicBees:magnet:16, Mysterious Magnet
MagicBees:frameMagic, Magic Frame
MagicBees:frameResilient, Resilient Frame
MagicBees:frameGentle, Gentle Frame
MagicBees:frameMetabolic, Metabolic Frame
MagicBees:frameNecrotic, Necrotic Frame
MagicBees:frameTemporal, Temporal Frame
MagicBees:frameOblivion, Oblivion Frame
MagicBees:backpack.thaumaturgeT1, item.backpack.thaumaturgeT1.name
MagicBees:backpack.thaumaturgeT2, item.backpack.thaumaturgeT2.name
MagicBees:item.thaumiumScoop, Thaumium Scoop
MagicBees:item.thaumiumGrafter, Thaumium Grafter
gendustry:Labware, Genetics Labware
gendustry:Waste, Genetic Waste
gendustry:GeneSampleBlank, Blank Gene Sample
gendustry:GeneSample, Gene Sample
gendustry:GeneTemplate, Genetic Template
gendustry:IndustrialGrafter, Industrial Grafter
gendustry:IndustrialScoop, Scooporator MX200 Turbo
gendustry:HoneyComb:10, Black Colored Comb
gendustry:HoneyComb:24, Orange Colored Comb
gendustry:HoneyComb:25, White Colored Comb
gendustry:HoneyComb:14, Blue Colored Comb
gendustry:HoneyComb:20, Lime Colored Comb
gendustry:HoneyComb:21, Yellow Colored Comb
gendustry:HoneyComb:13, Brown Colored Comb
gendustry:HoneyComb:17, Light Gray Colored Comb
gendustry:HoneyComb:22, Light Blue Colored Comb
gendustry:HoneyComb:12, Green Colored Comb
gendustry:HoneyComb:18, Gray Colored Comb
gendustry:HoneyComb:16, Cyan Colored Comb
gendustry:HoneyComb:11, Red Colored Comb
gendustry:HoneyComb:23, Magenta Colored Comb
gendustry:HoneyComb:19, Pink Colored Comb
gendustry:HoneyComb:15, Purple Colored Comb
gendustry:HoneyDrop:10, Black Colored Honey Drop
gendustry:HoneyDrop:24, Orange Colored Honey Drop
gendustry:HoneyDrop:25, White Colored Honey Drop
gendustry:HoneyDrop:14, Blue Colored Honey Drop
gendustry:HoneyDrop:20, Lime Colored Honey Drop
gendustry:HoneyDrop:21, Yellow Colored Honey Drop
gendustry:HoneyDrop:13, Brown Colored Honey Drop
gendustry:HoneyDrop:17, Light Gray Colored Honey Drop
gendustry:HoneyDrop:22, Light Blue Colored Honey Drop
gendustry:HoneyDrop:12, Green Colored Honey Drop
gendustry:HoneyDrop:18, Gray Colored Honey Drop
gendustry:HoneyDrop:16, Cyan Colored Honey Drop
gendustry:HoneyDrop:11, Red Colored Honey Drop
gendustry:HoneyDrop:23, Magenta Colored Honey Drop
gendustry:HoneyDrop:19, Pink Colored Honey Drop
gendustry:HoneyDrop:15, Purple Colored Honey Drop
gendustry:MutagenTank, Mutagen Tank
gendustry:BeeReceptacle, Bee Receptacle
gendustry:PowerModule, Power Module
gendustry:GeneticsProcessor, Genetics Processor
gendustry:EnvProcessor, Enviromental Processor
gendustry:UpgradeFrame, Upgrade Frame
gendustry:ClimateModule, Climate Control Module
gendustry:PollenKit, Pollen Collection Kit
gendustry:HiveSpawnDebugger, Hive Spawning Debugger
gendustry:EjectCover, Item Eject Cover
gendustry:ImportCover, Item Import Cover
gendustry:ErrorSensorCover, Error Sensor Cover
gendustry:MutagenBucket, Mutagen Bucket
gendustry:MutagenCan, Mutagen Can
gendustry:LiquidDNABucket, Liquid DNA Bucket
gendustry:LiquidDNACan, Liquid DNA Can
gendustry:ProteinBucket, Protein Bucket
gendustry:ProteinCan, Protein Can
advgenerators:IronFrame, Iron Frame
advgenerators:PowerIO, Power IO Module
advgenerators:IronTubing, Iron Tubing
advgenerators:IronWiring, Redstone-Iron Wiring
advgenerators:Controller, Control Circuit
advgenerators:PressureValve, Pressure Valve
advgenerators:AdvancedPressureValve, Advanced Pressure Valve
advgenerators:UpgradeKit, Upgrade Kit
IronChest:ironGoldUpgrade, Iron to Gold Chest Upgrade
IronChest:goldDiamondUpgrade, Gold to Diamond Chest Upgrade
IronChest:copperSilverUpgrade, Copper to Silver Chest Upgrade
IronChest:silverGoldUpgrade, Silver to Gold Chest Upgrade
IronChest:copperIronUpgrade, Copper to Iron Chest Upgrade
IronChest:diamondCrystalUpgrade, Diamond to Crystal Chest Upgrade
IronChest:woodIronUpgrade, Wood to Iron Chest Upgrade
IronChest:woodCopperUpgrade, Wood to Copper Chest Upgrade
IronChest:diamondObsidianUpgrade, Diamond to Obsidian Chest Upgrade
Mystcraft:page:0, Blank Page
Mystcraft:agebook, Descriptive Book
Mystcraft:linkbook, Linking Book
Mystcraft:unlinkedbook, Unlinked Link Book
Mystcraft:booster, Sealed Notebook
Mystcraft:folder, Collation Folder
Mystcraft:portfolio, Symbol Portfolio
Mystcraft:writingdesk:0, Writing Desk
Mystcraft:writingdesk:1, Writing Desk Backboard
Mystcraft:vial, Ink Vial
Mystcraft:glasses, XComp's Glasses
OpenBlocks:hangglider, Hang Glider
OpenBlocks:generic:0, Glider Wing
OpenBlocks:generic:1, Beam
OpenBlocks:generic:2, Crane Engine
OpenBlocks:generic:3, Crane Magnet
OpenBlocks:generic:5, Line
OpenBlocks:generic:6, Map Controller Module
OpenBlocks:generic:7, Map Memory Module
OpenBlocks:generic:9, Assistant's base
OpenBlocks:generic:10, Unprepared Stencil
OpenBlocks:generic:11, Sketching Pencil
OpenBlocks:luggage, Luggage
OpenBlocks:sonicglasses, Sonic Glasses
OpenBlocks:pencilGlasses:0, Pencil Glasses
OpenBlocks:crayonGlasses:0, Crayon Glasses
OpenBlocks:crayonGlasses:0, Crayon Glasses
OpenBlocks:crayonGlasses:0, Crayon Glasses
OpenBlocks:crayonGlasses:0, Crayon Glasses
OpenBlocks:crayonGlasses:0, Crayon Glasses
OpenBlocks:crayonGlasses:0, Crayon Glasses
OpenBlocks:crayonGlasses:0, Crayon Glasses
OpenBlocks:crayonGlasses:0, Crayon Glasses
OpenBlocks:crayonGlasses:0, Crayon Glasses
OpenBlocks:crayonGlasses:0, Crayon Glasses
OpenBlocks:crayonGlasses:0, Crayon Glasses
OpenBlocks:crayonGlasses:0, Crayon Glasses
OpenBlocks:crayonGlasses:0, Crayon Glasses
OpenBlocks:crayonGlasses:0, Crayon Glasses
OpenBlocks:crayonGlasses:0, Crayon Glasses
OpenBlocks:crayonGlasses:0, Crayon Glasses
OpenBlocks:technicolorGlasses:0, Amazing Technicolor Glasses
OpenBlocks:seriousGlasses:0, Badass Glasses
OpenBlocks:craneControl, Crane Control
OpenBlocks:craneBackpack, Crane Backpack
OpenBlocks:slimalyzer, Slimalyzer
OpenBlocks:filledbucket:0, XP Bucket
OpenBlocks:sleepingBag, Sleeping Bag
OpenBlocks:paintBrush, Paint Brush
OpenBlocks:stencil:0, Stencil
OpenBlocks:stencil:1, Stencil
OpenBlocks:stencil:2, Stencil
OpenBlocks:stencil:3, Stencil
OpenBlocks:stencil:4, Stencil
OpenBlocks:stencil:5, Stencil
OpenBlocks:stencil:6, Stencil
OpenBlocks:stencil:7, Stencil
OpenBlocks:stencil:8, Stencil
OpenBlocks:stencil:9, Stencil
OpenBlocks:stencil:10, Stencil
OpenBlocks:stencil:11, Stencil
OpenBlocks:stencil:12, Stencil
OpenBlocks:stencil:13, Stencil
OpenBlocks:stencil:14, Stencil
OpenBlocks:squeegee:0, Squeegee
OpenBlocks:emptyMap, Empty Map
OpenBlocks:cartographer:0, Cartographer
OpenBlocks:tastyClay, Tasty Clay
OpenBlocks:goldenEye, Golden eye
OpenBlocks:genericUnstackable:0, Pointer
OpenBlocks:cursor, Cursor
OpenBlocks:infoBook, World Domination with OpenBlocks
OpenBlocks:devnull, /dev/null
OpenBlocks:spongeonastick, Sponge
OpenBlocks:pedometer, Pedometer
OpenBlocks:epicEraser, Epic Eraser
OpenBlocks:wrench, Big Metal Bar
fodc:oreConverter, Ore Converter
rftools:shapeCardItem:0, Shape Card
rftools:shapeCardItem:1, Shape Card (Void)
rftools:shapeCardItem:2, Shape Card (Quarry)
rftools:shapeCardItem:3, Shape Card (Silk Quarry)
rftools:shapeCardItem:4, Shape Card (Fortune Quarry)
rftools:shapeCardItem:5, Shape Card (Clearing Quarry)
rftools:shapeCardItem:6, Shape Card (Clearing Silk Quarry)
rftools:shapeCardItem:7, Shape Card (Clearing Fortune Quarry)
rftools:smartWrenchItem, Smart Wrench
rftools:networkMonitorItem, RF Network Monitor
rftools:rfToolsManualItem, RFTools Manual
rftools:rfToolsManualDimensionItem, RFTools Dimension Manual
rftools:developersDelightItem, Developers Delight
rftools:shardWandItem, Shard Wand
rftools:spaceChamberCardItem, Space Chamber Card
rftools:teleportProbeItem, Teleporter Probe
rftools:chargedPorterItem, Charged Porter
rftools:advancedChargedPorterItem, Advanced Charged Porter
rftools:regenerationEModuleItem, Regeneration Module
rftools:regenerationPlusEModuleItem, Regeneration Plus Module
rftools:speedEModuleItem, Speed Module
rftools:speedPlusEModuleItem, Speed Plus Module
rftools:hasteEModuleItem, Haste Module
rftools:hastePlusEModuleItem, Haste Plus Module
rftools:saturationEModuleItem, Saturation Module
rftools:saturationPlusEModuleItem, Saturation Plus Module
rftools:featherFallingEModuleItem, Feather Falling Module
rftools:featherFallingPlusEModuleItem, Feather Falling Plus Module
rftools:flightEModuleItem, Flight Module
rftools:peacefulEModuleItem, Peaceful Module
rftools:waterBreathingEModuleItem, Water Breathing Module
rftools:nightVisionEModuleItem, Night Vision Module
rftools:blindnessEModuleItem, Blindness Module
rftools:weaknessEModuleItem, Weakness Module
rftools:poisonEModuleItem, Poison Module
rftools:slownessEModuleItem, Slowness Module
rftools:textModuleItem, Text Module
rftools:inventoryModuleItem, Inventory Module
rftools:inventoryPlusModuleItem, Inventory Plus Module
rftools:energyModuleItem, Energy Module
rftools:energyPlusModuleItem, Energy Plus Module
rftools:dimensionModuleItem, Dimension Module
rftools:clockModuleItem, Clock Module
rftools:fluidModuleItem, Fluid Module
rftools:fluidPlusModuleItem, Fluid Plus Module
rftools:counterModuleItem, Counter Module
rftools:counterPlusModuleItem, Counter Plus Module
rftools:redstoneModuleItem, Redstone Module
rftools:machineInformationModuleItem, Machine Information Module
rftools:computerModuleItem, Computer Module
rftools:buttonModuleItem, Button Module
rftools:unknownDimlet, Unknown Dimlet
rftools:dimletTemplate, Dimlet Template
rftools:emptyDimensionTab, Empty Dimension Tab
rftools:realizedDimensionTab, Realized Dimension Tab
rftools:dimensionMonitorItem, Dimension Monitor
rftools:phasedFieldGeneratorItem, Phased Field Generator
rftools:dimensionalShardItem, Dimensional Shard
rftools:infusedDiamondItem, Infused Diamond
rftools:dimletBaseItem, Dimlet Base Part
rftools:dimletControlCircuitItem:0, Dimlet Control Circuit Rarity 0
rftools:dimletControlCircuitItem:1, Dimlet Control Circuit Rarity 1
rftools:dimletControlCircuitItem:2, Dimlet Control Circuit Rarity 2
rftools:dimletControlCircuitItem:3, Dimlet Control Circuit Rarity 3
rftools:dimletControlCircuitItem:4, Dimlet Control Circuit Rarity 4
rftools:dimletControlCircuitItem:5, Dimlet Control Circuit Rarity 5
rftools:dimletControlCircuitItem:6, Dimlet Control Circuit Rarity 6
rftools:dimletEnergyModuleItem:0, Dimlet Basic Energy Module
rftools:dimletEnergyModuleItem:1, Dimlet Regular Energy Module
rftools:dimletEnergyModuleItem:2, Dimlet Advanced Energy Module
rftools:dimletMemoryUnitItem:0, Dimlet Basic Memory Unit
rftools:dimletMemoryUnitItem:1, Dimlet Regular Memory Unit
rftools:dimletMemoryUnitItem:2, Dimlet Advanced Memory Unit
rftools:dimletTypeControllerItem:0, Dimlet Biome Type Controller
rftools:dimletTypeControllerItem:2, Dimlet Liquid Type Controller
rftools:dimletTypeControllerItem:3, Dimlet Material Type Controller
rftools:dimletTypeControllerItem:4, Dimlet Mob Type Controller
rftools:dimletTypeControllerItem:5, Dimlet Sky Type Controller
rftools:dimletTypeControllerItem:6, Dimlet Structure Type Controller
rftools:dimletTypeControllerItem:7, Dimlet Terrain Type Controller
rftools:dimletTypeControllerItem:8, Dimlet Feature Type Controller
rftools:dimletTypeControllerItem:9, Dimlet Time Type Controller
rftools:dimletTypeControllerItem:11, Dimlet Effect Type Controller
rftools:dimletTypeControllerItem:12, Dimlet Special Type Controller
rftools:dimletTypeControllerItem:13, Dimlet Controller Type Controller
rftools:dimletTypeControllerItem:14, Dimlet Weather Type Controller
rftools:dimletTypeControllerItem:15, item.DimletTypeControllerPatreon.name
rftools:syringeItem, Syringe
rftools:peaceEssenceItem, Peace Essence
rftools:efficiencyEssenceItem, Efficiency Essence
rftools:mediocreEfficiencyEssenceItem, Mediocre Efficiency Essence
rftools:structureEssenceItem:1, Structure Village Essence
rftools:structureEssenceItem:2, Structure Stronghold Essence
rftools:structureEssenceItem:3, Structure Dungeon Essence
rftools:structureEssenceItem:4, Structure Fortress Essence
rftools:structureEssenceItem:5, Structure Mineshaft Essence
rftools:structureEssenceItem:6, Structure Scattered Essence
rftools:storageModuleTabletItem, Storage Module Tablet
rftools:storageModuleItem:0, Storage Module Tier 1
rftools:storageModuleItem:1, Storage Module Tier 2
rftools:storageModuleItem:2, Storage Module Tier 3
rftools:storageModuleItem:6, Remote Storage Module
rftools:dimletTypeItem, Dimlet Storage Module
rftools:oreDictTypeItem, Ore Dictionary Storage Module
rftools:genericTypeItem, Generic Storage Module
rftools:storageFilterItem, Storage Filter Module
rftools:orphaningCardItem, Orphaning Card
rftools:securityCardItem, Security Card
simplyjetpacks:jetpacksCommon:0, Tuberous Jetpack
simplyjetpacks:jetpacksCommon:9001, Creative Jetpack
simplyjetpacks:fluxpacksCommon:9001, Creative Flux Pack
simplyjetpacks:jetpacks:1, Leadstone Jetpack
simplyjetpacks:jetpacks:1, Leadstone Jetpack
simplyjetpacks:jetpacks:101, Leadstone Jetpack (Armored)
simplyjetpacks:jetpacks:101, Leadstone Jetpack (Armored)
simplyjetpacks:jetpacks:2, Hardened Jetpack
simplyjetpacks:jetpacks:2, Hardened Jetpack
simplyjetpacks:jetpacks:102, Hardened Jetpack (Armored)
simplyjetpacks:jetpacks:102, Hardened Jetpack (Armored)
simplyjetpacks:jetpacks:3, Reinforced Jetpack
simplyjetpacks:jetpacks:3, Reinforced Jetpack
simplyjetpacks:jetpacks:103, Reinforced Jetpack (Armored)
simplyjetpacks:jetpacks:103, Reinforced Jetpack (Armored)
simplyjetpacks:jetpacks:4, Resonant Jetpack
simplyjetpacks:jetpacks:4, Resonant Jetpack
simplyjetpacks:jetpacks:104, Resonant Jetpack (Armored)
simplyjetpacks:jetpacks:104, Resonant Jetpack (Armored)
simplyjetpacks:jetpacks:5, Flux-Infused JetPlate
simplyjetpacks:jetpacks:5, Flux-Infused JetPlate
simplyjetpacks:fluxpacks:1, Leadstone Flux Pack
simplyjetpacks:fluxpacks:1, Leadstone Flux Pack
simplyjetpacks:fluxpacks:2, Hardened Flux Pack
simplyjetpacks:fluxpacks:2, Hardened Flux Pack
simplyjetpacks:fluxpacks:102, Hardened Flux Pack (Armored)
simplyjetpacks:fluxpacks:102, Hardened Flux Pack (Armored)
simplyjetpacks:fluxpacks:3, Redstone Flux Pack
simplyjetpacks:fluxpacks:3, Redstone Flux Pack
simplyjetpacks:fluxpacks:103, Redstone Flux Pack (Armored)
simplyjetpacks:fluxpacks:103, Redstone Flux Pack (Armored)
simplyjetpacks:fluxpacks:4, Resonant Flux Pack
simplyjetpacks:fluxpacks:4, Resonant Flux Pack
simplyjetpacks:fluxpacks:104, Resonant Flux Pack (Armored)
simplyjetpacks:fluxpacks:104, Resonant Flux Pack (Armored)
simplyjetpacks:components:0, Leather Strap
simplyjetpacks:components:11, Leadstone Thruster
simplyjetpacks:components:12, Hardened Thruster
simplyjetpacks:components:13, Reinforced Thruster
simplyjetpacks:components:14, Resonant Thruster
simplyjetpacks:components:15, Fluxed Thruster
simplyjetpacks:components:60, Glowstone Elevation Unit (Empty)
simplyjetpacks:components:61, Glowstone Elevation Unit
simplyjetpacks:components:62, Cryotheum Coolant Unit (Empty)
simplyjetpacks:components:63, Cryotheum Coolant Unit
simplyjetpacks:armorPlatings:1, Iron Armor Plating
simplyjetpacks:armorPlatings:2, Bronze Armor Plating
simplyjetpacks:armorPlatings:3, Invar Armor Plating
simplyjetpacks:armorPlatings:4, Enderium Armor Plating
simplyjetpacks:particleCustomizers:0, Particle Customizer (Default)
simplyjetpacks:particleCustomizers:1, Particle Customizer (None)
simplyjetpacks:particleCustomizers:2, Particle Customizer (Smoke Only)
simplyjetpacks:particleCustomizers:3, Particle Customizer (Rainbow Smoke)
simplyjetpacks:jetpackFueller, Jetpack Fueller
simplyjetpacks:mysteriousPotato, Mysterious Potato
thaumicenergistics:part.base:0, Essentia Import Bus
thaumicenergistics:part.base:1, Essentia Level Emitter
thaumicenergistics:part.base:2, Essentia Storage Bus
thaumicenergistics:part.base:3, Essentia Export Bus
thaumicenergistics:part.base:4, Essentia Terminal
thaumicenergistics:part.base:5, Arcane Crafting Terminal
thaumicenergistics:part.base:6, Vis Relay Interface
thaumicenergistics:part.base:7, Essentia Storage Monitor
thaumicenergistics:part.base:8, Essentia Conversion Monitor
thaumicenergistics:storage.essentia:0, 1k ME Essentia Storage Cell
thaumicenergistics:storage.essentia:1, 4k ME Essentia Storage Cell
